LOCATION: Hollandse Kust zuid,,,,,,,,,,,,,,,
SYSTEM SERIAL: HKZMAST,,,,,,,,,,,,,,,
TIMESTAMP (ISO-8601) UTC,WindDir030m deg,WindDir040m deg,WindDir060m deg,WindDir080m deg,WindDir100m deg,WindSpeed030mh m/s,WindSpeed040mh m/s,WindSpeed060mh m/s,WindSpeed080mh m/s,WindSpeed100mh m/s,TI 030m,TI 040m,TI 060m,TI 080m,TI 100m
2016-09-10T00:00:00Z,182.6005624,189.4300659,195.5654263,187.1655802,198.8028746,4.696678419,5.049599863,5.474428417,5.830250667,6.144207921,0.109980364,0.102484021,0.067836024,0.091186464,0.05685245
2016-09-10T00:10:00Z,175.9673836,174.1180181,170.3349997,187.4636943,176.280892,4.365137545,4.675682727,5.048458802,5.425050854,5.445870071,0.07549737,0.075550724,0.101444363,0.052408804,0.081383369
2016-09-10T00:20:00Z,161.5944306,174.8841865,167.8539958,174.2270818,179.0963719,4.864102035,5.079474359,5.106461272,5.364025656,5.653541297,0.06997075,0.082802525,0.079879402,0.099657085,0.07836817
2016-09-10T00:30:00Z,168.3983623,166.8626554,174.0477084,180.8279363,176.1327396,4.888145229,5.304878527,5.38392351,5.357525361,5.651702228,0.109139398,0.079282495,0.098254796,0.090154135,0.094641732
2016-09-10T00:40:00Z,180.7135423,179.4953621,164.3150597,191.2338349,165.6590298,4.873982098,5.07563203,5.185620251,5.916686894,5.955238225,0.125911866,0.092290507,0.085247195,0.061734782,0.079538285
2016-09-10T00:50:00Z,171.1223784,169.6240371,189.1670834,177.8620673,186.2019464,4.952018242,5.251050045,5.875670079,6.000140164,6.138545342,0.091322283,0.071642607,0.067156339,0.06620647,0.095188972
2016-09-10T01:00:00Z,169.5598624,172.9473003,170.5421345,197.6179042,181.7969974,5.013157663,5.278945622,5.812348965,5.957930795,6.112088439,0.12353572,0.076892511,0.06713313,0.072453778,0.073362136
2016-09-10T01:10:00Z,168.2903627,180.9821269,175.2466762,175.6220214,188.8727212,4.976142897,4.978320514,5.427089309,5.807653251,6.061911805,0.076782493,0.088630505,0.105963919,0.117652325,0.099082237
2016-09-10T01:20:00Z,185.1276762,178.414904,181.6885202,180.8187303,186.0691849,4.927388756,4.948535424,5.130182773,5.232100969,5.494728942,0.130476941,0.094418134,0.112210645,0.12112485,0.170943573
2016-09-10T01:30:00Z,169.6902349,165.6341464,175.334991,178.8191247,180.0776663,4.483771319,5.097947772,5.10174685,5.484436338,5.474788216,0.116963378,0.165679184,0.071883464,0.114278715,0.132860082
2016-09-10T01:40:00Z,165.1444045,172.1563017,177.2591612,164.2772447,181.4563155,5.074852679,5.235452379,5.290661679,5.426815463,5.61449347,0.095305989,0.111019784,0.105438088,0.102498506,0.115314706
2016-09-10T01:50:00Z,169.0055186,170.1436955,176.0615086,184.1544605,167.018784,5.514122193,5.488985759,5.518080606,5.861182259,5.718130279,0.092155977,0.084711502,0.106317864,0.106550434,0.101303041
2016-09-10T02:00:00Z,176.7395334,168.9752972,186.2843204,184.9544551,176.8508517,5.213617118,5.401140313,5.714156131,5.596991134,5.939594957,0.131435,0.084556397,0.103966317,0.094193677,0.082375433
2016-09-10T02:10:00Z,180.5834562,191.2319932,191.9238188,194.8063492,193.5193701,5.836467389,5.824279617,6.036991719,5.853530588,6.33631386,0.110415902,0.106990062,0.114164674,0.100529134,0.105482219
